sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
40,Weighted Balanced Acceptance,489.44645026806404,460.01949019267596,521.7984800651526,0.026068119567255275,0.7605,samplers,460.01949019267596,521.7984800651526
40,Balanced Acceptance,590.6914861585362,554.0680207956218,622.2233187050035,0.023201177173333736,0.7605,samplers,554.0680207956218,622.2233187050035
40,Balanced Mask,459.1002788089703,432.3617655031079,489.44645026806404,0.025169354601768664,0.7605,samplers,432.3617655031079,489.44645026806404
41,Uncertainty Sampling,292.72208807821477,277.8880830088705,313.3216988977765,0.022791935645357937,0.6285,samplers,277.8880830088705,313.3216988977765
41,Weighted Balanced Acceptance,343.5180493337017,327.41708752793977,364.76220796605617,0.02072216228196947,0.6285,samplers,327.41708752793977,364.76220796605617
41,Balanced Acceptance,459.1002788089703,429.7751039892357,486.51827206864124,0.023253522109773148,0.6285,samplers,429.7751039892357,486.51827206864124
41,Balanced Mask,295.664289666339,277.3328067765726,317.1045895182164,0.022330921694915934,0.6285,samplers,277.3328067765726,317.1045895182164
42,Uncertainty Sampling,1785.4119861191164,1668.028503915309,1922.5580055670132,0.009294332969068217,0.6147,samplers,1668.028503915309,1922.5580055670132
42,Weighted Balanced Acceptance,2078.537236574687,1945.7700163281406,2233.727233507236,0.0077845724089018065,0.6147,samplers,1945.7700163281406,2233.727233507236
42,Balanced Acceptance,2805.8159772997797,2626.5935985641822,3033.4548923395314,0.0092810113611099,0.6147,samplers,2626.5935985641822,3033.4548923395314
42,Balanced Mask,1718.8326916292704,1609.0417124151688,1832.4461960797473,0.010219051681930253,0.6147,samplers,1609.0417124151688,1832.4461960797473
43,Uncertainty Sampling,643.7448564271654,603.832028827028,690.4264586100941,0.018737967945434163,0.2183,samplers,603.832028827028,690.4264586100941
43,Weighted Balanced Acceptance,1467.601728378377,1384.8942606290798,1574.0258797531526,0.015002639665689217,0.2183,samplers,1384.8942606290798,1574.0258797531526
43,Balanced Acceptance,2569.4338859173286,2371.8674441368676,2750.251597433336,0.010516481013351219,0.2183,samplers,2371.8674441368676,2750.251597433336
43,Balanced Mask,623.4691353253818,587.1575961254055,662.0262860745786,0.017494161507326633,0.2183,samplers,587.1575961254055,662.0262860745786
44,Uncertainty Sampling,1173.0499934773686,1076.3746491600991,1263.1575644299423,0.010145615323393179,0.1512,samplers,1076.3746491600991,1263.1575644299423
44,Weighted Balanced Acceptance,3902.929406184263,3566.9767920776867,4287.641444461346,0.011922088799639958,0.1512,samplers,3566.9767920776867,4287.641444461346
44,Balanced Acceptance,7704.42938111199,6846.815177666387,8652.142766442274,0.009757199535701347,0.1512,samplers,6846.815177666387,8652.142766442274
44,Balanced Mask,1042.4725962434718,962.3157949253756,1147.5221765420756,0.018254263085466484,0.1512,samplers,962.3157949253756,1147.5221765420756
45,Uncertainty Sampling,3027.3934398827464,2845.3776425690094,3292.70823954295,0.010389171077549766,0.6697,samplers,2845.3776425690094,3292.70823954295
45,Weighted Balanced Acceptance,3339.1350267078687,3076.2262387253827,3631.770245169481,0.011433705354353193,0.6697,samplers,3076.2262387253827,3631.770245169481
45,Balanced Acceptance,4409.404305380023,4029.855830663063,4902.524140761195,0.009180791805286484,0.6697,samplers,4029.855830663063,4902.524140761195
45,Balanced Mask,2914.4997655164707,2701.1850855564026,3157.265165272028,0.011548414816886189,0.6697,samplers,2701.1850855564026,3157.265165272028
46,Uncertainty Sampling,1260.633521780898,1203.952373497489,1341.2749143871204,0.016739337947202056,0.7795,samplers,1203.952373497489,1341.2749143871204
46,Weighted Balanced Acceptance,1317.3455831294177,1243.105879520086,1384.8942606290798,0.016137574417316548,0.7795,samplers,1243.105879520086,1384.8942606290798
46,Balanced Acceptance,1558.3625020473612,1482.3528534619568,1648.1298030113744,0.016519814181921263,0.7795,samplers,1482.3528534619568,1648.1298030113744
46,Balanced Mask,1238.1428922957057,1175.3986762323834,1314.7132619297665,0.016835971661246833,0.7795,samplers,1175.3986762323834,1314.7132619297665
47,Uncertainty Sampling,1444.3046447371228,1371.1129612452237,1533.6246587676965,0.009070785344957593,0.5061,samplers,1371.1129612452237,1533.6246587676965
47,Weighted Balanced Acceptance,1895.8270735673323,1774.7305224944905,1989.0556815557065,0.010618245024825338,0.5061,samplers,1774.7305224944905,1989.0556815557065
47,Balanced Acceptance,2755.758156006931,2559.175654691988,2926.182282285502,0.008483724784361516,0.5061,samplers,2559.175654691988,2926.182282285502
